Thời gian trung bình của từng ảnh:

10081.jpg: 1.1695 giây (Tổng) | 0.2092 giây (COO)
14085.jpg: 0.7300 giây (Tổng) | 0.2016 giây (COO)
14092.jpg: 0.8873 giây (Tổng) | 0.2133 giây (COO)
15011.jpg: 0.7838 giây (Tổng) | 0.2032 giây (COO)
15062.jpg: 0.7592 giây (Tổng) | 0.2095 giây (COO)
16004.jpg: 0.7958 giây (Tổng) | 0.2166 giây (COO)
16068.jpg: 0.6673 giây (Tổng) | 0.2019 giây (COO)
17067.jpg: 0.7208 giây (Tổng) | 0.2103 giây (COO)
20069.jpg: 0.7513 giây (Tổng) | 0.2166 giây (COO)
2018.jpg: 0.7084 giây (Tổng) | 0.2212 giây (COO)
23050.jpg: 0.7019 giây (Tổng) | 0.2262 giây (COO)
28083.jpg: 0.7233 giây (Tổng) | 0.2107 giây (COO)
29030.jpg: 0.7563 giây (Tổng) | 0.2277 giây (COO)
3063.jpg: 0.8336 giây (Tổng) | 0.2164 giây (COO)
33044.jpg: 0.7229 giây (Tổng) | 0.2148 giây (COO)
35028.jpg: 0.6491 giây (Tổng) | 0.2184 giây (COO)
35049.jpg: 0.6934 giây (Tổng) | 0.2203 giây (COO)
36046.jpg: 0.8102 giây (Tổng) | 0.2137 giây (COO)
41006.jpg: 0.7620 giây (Tổng) | 0.2051 giây (COO)
41029.jpg: 0.7408 giây (Tổng) | 0.2115 giây (COO)
41085.jpg: 0.7260 giây (Tổng) | 0.2240 giây (COO)
41096.jpg: 0.8156 giây (Tổng) | 0.2324 giây (COO)
43033.jpg: 0.6673 giây (Tổng) | 0.2418 giây (COO)
43051.jpg: 0.6783 giây (Tổng) | 0.2348 giây (COO)
45000.jpg: 0.7231 giây (Tổng) | 0.2313 giây (COO)
48017.jpg: 0.6942 giây (Tổng) | 0.2413 giây (COO)
48025.jpg: 0.8462 giây (Tổng) | 0.2243 giây (COO)
49024.jpg: 0.7483 giây (Tổng) | 0.2290 giây (COO)
5096.jpg: 0.6682 giây (Tổng) | 0.2246 giây (COO)
51084.jpg: 0.8046 giây (Tổng) | 0.2368 giây (COO)
6046.jpg: 0.7004 giây (Tổng) | 0.2315 giây (COO)
61034.jpg: 0.7386 giây (Tổng) | 0.2333 giây (COO)
64061.jpg: 0.7724 giây (Tổng) | 0.2239 giây (COO)
65084.jpg: 0.7250 giây (Tổng) | 0.2340 giây (COO)
69000.jpg: 0.7137 giây (Tổng) | 0.2276 giây (COO)
69007.jpg: 0.7969 giây (Tổng) | 0.2297 giây (COO)
69022.jpg: 0.7337 giây (Tổng) | 0.2152 giây (COO)
70011.jpg: 0.7103 giây (Tổng) | 0.2156 giây (COO)
70090.jpg: 0.7037 giây (Tổng) | 0.2293 giây (COO)
71076.jpg: 0.8507 giây (Tổng) | 0.2147 giây (COO)
71099.jpg: 0.8279 giây (Tổng) | 0.2315 giây (COO)
77062.jpg: 0.7897 giây (Tổng) | 0.2652 giây (COO)
78098.jpg: 0.7991 giây (Tổng) | 0.2352 giây (COO)
79073.jpg: 0.7576 giây (Tổng) | 0.2274 giây (COO)
80085.jpg: 0.8078 giây (Tổng) | 0.2353 giây (COO)
80090.jpg: 0.7359 giây (Tổng) | 0.2383 giây (COO)
8068.jpg: 0.9338 giây (Tổng) | 0.4785 giây (COO)
81066.jpg: 0.7960 giây (Tổng) | 0.2194 giây (COO)
81090.jpg: 0.8037 giây (Tổng) | 0.2154 giây (COO)
81095.jpg: 0.8192 giây (Tổng) | 0.2143 giây (COO)

Thời gian trung bình của cả thư mục:
Tổng: 0.7651 giây
COO: 0.2281 giây
