Thời gian trung bình của từng ảnh:

10081.jpg: 1.1715 giây (Tổng) | 0.2072 giây (COO)
14085.jpg: 0.7270 giây (Tổng) | 0.1927 giây (COO)
14092.jpg: 0.8601 giây (Tổng) | 0.2020 giây (COO)
15011.jpg: 0.7747 giây (Tổng) | 0.1944 giây (COO)
15062.jpg: 0.7566 giây (Tổng) | 0.1988 giây (COO)
16004.jpg: 0.7978 giây (Tổng) | 0.2096 giây (COO)
16068.jpg: 0.6683 giây (Tổng) | 0.1980 giây (COO)
17067.jpg: 0.7030 giây (Tổng) | 0.1940 giây (COO)
20069.jpg: 0.7254 giây (Tổng) | 0.1943 giây (COO)
2018.jpg: 0.6901 giây (Tổng) | 0.2009 giây (COO)
23050.jpg: 0.6691 giây (Tổng) | 0.1975 giây (COO)
28083.jpg: 0.7222 giây (Tổng) | 0.2076 giây (COO)
29030.jpg: 0.7470 giây (Tổng) | 0.2114 giây (COO)
3063.jpg: 0.8102 giây (Tổng) | 0.1961 giây (COO)
33044.jpg: 0.7036 giây (Tổng) | 0.1965 giây (COO)
35028.jpg: 0.6402 giây (Tổng) | 0.2071 giây (COO)
35049.jpg: 0.6791 giây (Tổng) | 0.1977 giây (COO)
36046.jpg: 0.8037 giây (Tổng) | 0.1979 giây (COO)
41006.jpg: 0.7627 giây (Tổng) | 0.1968 giây (COO)
41029.jpg: 0.7302 giây (Tổng) | 0.1999 giây (COO)
41085.jpg: 0.7148 giây (Tổng) | 0.1971 giây (COO)
41096.jpg: 0.7886 giây (Tổng) | 0.1914 giây (COO)
43033.jpg: 0.6334 giây (Tổng) | 0.2070 giây (COO)
43051.jpg: 0.6520 giây (Tổng) | 0.2071 giây (COO)
45000.jpg: 0.6905 giây (Tổng) | 0.1949 giây (COO)
48017.jpg: 0.6601 giây (Tổng) | 0.2035 giây (COO)
48025.jpg: 0.8614 giây (Tổng) | 0.2089 giây (COO)
49024.jpg: 0.7308 giây (Tổng) | 0.2013 giây (COO)
5096.jpg: 0.6567 giây (Tổng) | 0.2057 giây (COO)
51084.jpg: 0.7755 giây (Tổng) | 0.1967 giây (COO)
6046.jpg: 0.6905 giây (Tổng) | 0.2113 giây (COO)
61034.jpg: 0.7343 giây (Tổng) | 0.2127 giây (COO)
64061.jpg: 0.7498 giây (Tổng) | 0.1985 giây (COO)
65084.jpg: 0.7009 giây (Tổng) | 0.2053 giây (COO)
69000.jpg: 0.6939 giây (Tổng) | 0.1996 giây (COO)
69007.jpg: 0.7787 giây (Tổng) | 0.2023 giây (COO)
69022.jpg: 0.7254 giây (Tổng) | 0.1982 giây (COO)
70011.jpg: 0.6979 giây (Tổng) | 0.1970 giây (COO)
70090.jpg: 0.6825 giây (Tổng) | 0.2026 giây (COO)
71076.jpg: 0.8383 giây (Tổng) | 0.1994 giây (COO)
71099.jpg: 0.8098 giây (Tổng) | 0.1923 giây (COO)
77062.jpg: 0.7235 giây (Tổng) | 0.1986 giây (COO)
78098.jpg: 0.7523 giây (Tổng) | 0.1977 giây (COO)
79073.jpg: 0.7245 giây (Tổng) | 0.1912 giây (COO)
80085.jpg: 0.7776 giây (Tổng) | 0.1952 giây (COO)
80090.jpg: 0.6973 giây (Tổng) | 0.2077 giây (COO)
8068.jpg: 0.6474 giây (Tổng) | 0.2009 giây (COO)
81066.jpg: 0.7791 giây (Tổng) | 0.2003 giây (COO)
81090.jpg: 0.7843 giây (Tổng) | 0.1962 giây (COO)
81095.jpg: 0.8174 giây (Tổng) | 0.2018 giây (COO)

Thời gian trung bình của cả thư mục:
Tổng: 0.7422 giây
COO: 0.2005 giây
